[2019-09-02 11:59:20] [INFO   ] Connecting to the MongoDB database knowingipr 
[2019-09-02 11:59:21] [INFO   ] host: jdbc:mariadb://localhost/knowingipr_knowledge?usePipelineAuth=false
username: root
password: root
driver: org.mariadb.jdbc.Driver 
[2019-09-02 11:59:21] [INFO   ] -------------------------- 
[2019-09-02 11:59:21] [INFO   ] DRIVER: org.mariadb.jdbc.Driver 
[2019-09-02 11:59:21] [INFO   ] Set Login Timeout: 10 
[2019-09-02 11:59:21] [INFO   ] CONNECTION: org.mariadb.jdbc.MariaDbConnection@20d82dd1 
[2019-09-02 12:01:51] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_14.jsonl 
[2019-09-02 12:01:51] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_14.jsonl 
[2019-09-02 12:01:52] [FINER  ] Beginning insert 
[2019-09-02 12:01:52] [FINER  ] Inserting done 
[2019-09-02 12:01:52] [FINER  ] Parsing done 
[2019-09-02 12:01:52] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_15.jsonl 
[2019-09-02 12:01:52] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_15.jsonl 
[2019-09-02 12:01:52] [FINER  ] Beginning insert 
[2019-09-02 12:01:52] [FINER  ] Inserting done 
[2019-09-02 12:01:52] [FINER  ] Parsing done 
[2019-09-02 12:01:52] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_16.jsonl 
[2019-09-02 12:01:52] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_16.jsonl 
[2019-09-02 12:01:52] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_17.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_17.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_18.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_18.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_19.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_19.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_2.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_2.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_20.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_20.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_21.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_21.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_22.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_22.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_23.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_23.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_24.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_24.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_25.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_25.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:53] [FINER  ] Inserting done 
[2019-09-02 12:01:53] [FINER  ] Parsing done 
[2019-09-02 12:01:53] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_26.jsonl 
[2019-09-02 12:01:53] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_26.jsonl 
[2019-09-02 12:01:53] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_27.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_27.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_28.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_28.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_29.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_29.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_3.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_3.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_30.jsonl 
